Year,Term,FBB pre-retirement Investment return (Best estimate) cpi basis
2022,1,0.029
2023,2,0.029
2024,3,0.029
2025,4,0.029
2026,5,0.029
2027,6,0.029
2028,7,0.029
2029,8,0.029
2030,9,0.029
2031,10,0.029
2032,11,0.029
2033,12,0.029
2034,13,0.029
2035,14,0.029
2036,15,0.029
2037,16,0.029
2038,17,0.029
2039,18,0.029
2040,19,0.029
2041,20,0.029
2042,21,0.029
2043,22,0.029
2044,23,0.029
2045,24,0.029
2046,25,0.029
2047,26,0.029
2048,27,0.029
2049,28,0.029
2050,29,0.029
2051,30,0.029
2052,31,0.029
2053,32,0.029
2054,33,0.029
2055,34,0.029
2056,35,0.029
2057,36,0.029
2058,37,0.029
2059,38,0.029
2060,39,0.029
2061,40,0.029
2062,41,0.029
2063,42,0.029
2064,43,0.029
2065,44,0.029
2066,45,0.029
2067,46,0.029
2068,47,0.029
2069,48,0.029
2070,49,0.029
2071,50,0.029
