Year,Term,Investment return (Best estimate) 2021 cpi basis
2021,1,0.01
2022,2,0.01
2023,3,0.01
2024,4,0.01
2025,5,0.01
2026,6,0.01
2027,7,0.01
2028,8,0.01
2029,9,0.01
2030,10,0.01
2031,11,0.01
2032,12,0.01
2033,13,0.01
2034,14,0.01
2035,15,0.01
2036,16,0.01
2037,17,0.01
2038,18,0.01
2039,19,0.01
2040,20,0.01
2041,21,0.01
2042,22,0.01
2043,23,0.01
2044,24,0.01
2045,25,0.01
2046,26,0.01
2047,27,0.01
2048,28,0.01
2049,29,0.01
2050,30,0.01
2051,31,0.01
2052,32,0.01
2053,33,0.01
2054,34,0.01
2055,35,0.01
2056,36,0.01
2057,37,0.01
2058,38,0.01
2059,39,0.01
2060,40,0.01
2061,41,0.01
2062,42,0.01
2063,43,0.01
2064,44,0.01
2065,45,0.01
2066,46,0.01
2067,47,0.01
2068,48,0.01
2069,49,0.01
2070,50,0.01
