Year,Term,FBB pre-retirement Investment return (Best estimate) cpi basis
2023,1,0.0321
2024,2,0.0321
2025,3,0.0321
2026,4,0.0321
2027,5,0.0321
2028,6,0.0321
2029,7,0.0321
2030,8,0.0321
2031,9,0.0321
2032,10,0.0321
2033,11,0.0321
2034,12,0.0321
2035,13,0.0321
2036,14,0.0321
2037,15,0.0321
2038,16,0.0321
2039,17,0.0321
2040,18,0.0321
2041,19,0.0321
2042,20,0.0321
2043,21,0.0321
2044,22,0.0321
2045,23,0.0321
2046,24,0.0321
2047,25,0.0321
2048,26,0.0321
2049,27,0.0321
2050,28,0.0321
2051,29,0.0321
2052,30,0.0321
2053,31,0.0321
2054,32,0.0321
2055,33,0.0321
2056,34,0.0321
2057,35,0.0321
2058,36,0.0321
2059,37,0.0321
2060,38,0.0321
2061,39,0.0321
2062,40,0.0321
2063,41,0.0321
2064,42,0.0321
2065,43,0.0321
2066,44,0.0321
2067,45,0.0321
2068,46,0.0321
2069,47,0.0321
2070,48,0.0321
2071,49,0.0321
2072,50,0.0321
