binned_by_pc_loss,binned_by_pounds_loss,binned_by_salary,binned_by_age,inflation,number
5-10%,0-50k,0-20k,60-70,0.03,743
5-10%,0-50k,20-40k,60-70,0.03,1495
5-10%,0-50k,80k+,60-70,0.03,269
10-15%,0-50k,0-20k,60-70,0.03,988
10-15%,0-50k,40-60k,60-70,0.03,1546
10-15%,0-50k,60-80k,60-70,0.03,948
10-15%,0-50k,80k+,60-70,0.03,959
15-20%,0-50k,0-20k,50-60,0.03,495
15-20%,0-50k,0-20k,60-70,0.03,1399
15-20%,0-50k,20-40k,50-60,0.03,3096
15-20%,0-50k,20-40k,60-70,0.03,2647
15-20%,0-50k,80k+,60-70,0.03,265
20-25%,0-50k,0-20k,40-50,0.03,2332
20-25%,0-50k,0-20k,50-60,0.03,3740
20-25%,0-50k,20-40k,40-50,0.03,2058
20-25%,0-50k,20-40k,50-60,0.03,4718
20-25%,0-50k,40-60k,60-70,0.03,2201
20-25%,0-50k,80k+,60-70,0.03,927
20-25%,50-100k,80k+,50-60,0.03,659
20-25%,100-150k,80k+,40-50,0.03,108
20-25%,150-200k,80k+,40-50,0.03,65
20-25%,200-250k,80k+,30-40,0.03,49
25-30%,0-50k,0-20k,30-40,0.03,5762
25-30%,0-50k,0-20k,40-50,0.03,2724
25-30%,0-50k,20-40k,40-50,0.03,3301
25-30%,0-50k,20-40k,50-60,0.03,1471
25-30%,0-50k,40-60k,50-60,0.03,2231
25-30%,0-50k,40-60k,60-70,0.03,1903
25-30%,0-50k,60-80k,60-70,0.03,2295
25-30%,0-50k,80k+,60-70,0.03,1105
25-30%,50-100k,0-20k,30-40,0.03,787
25-30%,50-100k,20-40k,30-40,0.03,3696
25-30%,50-100k,20-40k,40-50,0.03,1295
25-30%,50-100k,80k+,50-60,0.03,2067
25-30%,100-150k,80k+,40-50,0.03,205
25-30%,150-200k,80k+,40-50,0.03,106
25-30%,200-250k,80k+,30-40,0.03,13
30-35%,0-50k,0-20k,20-30,0.03,2937
30-35%,0-50k,40-60k,50-60,0.03,3921
30-35%,50-100k,0-20k,20-30,0.03,742
30-35%,50-100k,20-40k,20-30,0.03,647
30-35%,50-100k,20-40k,30-40,0.03,5161
30-35%,50-100k,20-40k,40-50,0.03,7472
30-35%,50-100k,40-60k,40-50,0.03,3673
30-35%,50-100k,40-60k,50-60,0.03,5766
30-35%,50-100k,60-80k,50-60,0.03,4663
30-35%,50-100k,80k+,50-60,0.03,3369
30-35%,100-150k,80k+,40-50,0.03,1157
30-35%,150-200k,80k+,40-50,0.03,475
30-35%,200-250k,80k+,30-40,0.03,175
35-40%,50-100k,40-60k,50-60,0.03,6620
35-40%,50-100k,60-80k,50-60,0.03,4093
35-40%,100-150k,20-40k,20-30,0.03,1428
35-40%,100-150k,20-40k,30-40,0.03,10667
35-40%,100-150k,40-60k,40-50,0.03,8422
35-40%,100-150k,60-80k,40-50,0.03,4518
35-40%,100-150k,80k+,40-50,0.03,352
35-40%,150-200k,20-40k,20-30,0.03,3969
35-40%,150-200k,60-80k,40-50,0.03,1677
35-40%,150-200k,80k+,40-50,0.03,447
35-40%,200-250k,60-80k,30-40,0.03,378
35-40%,200-250k,80k+,30-40,0.03,238
35-40%,250-300k,60-80k,20-30,0.03,7
40-45%,100-150k,40-60k,40-50,0.03,9861
40-45%,150-200k,20-40k,20-30,0.03,305
40-45%,150-200k,20-40k,30-40,0.03,6187
40-45%,150-200k,40-60k,30-40,0.03,18022
40-45%,150-200k,40-60k,40-50,0.03,6268
40-45%,150-200k,60-80k,40-50,0.03,1733
40-45%,200-250k,20-40k,20-30,0.03,1813
40-45%,200-250k,40-60k,30-40,0.03,5329
40-45%,200-250k,60-80k,30-40,0.03,1342
40-45%,250-300k,40-60k,20-30,0.03,31
40-45%,250-300k,60-80k,20-30,0.03,30
45-50%,200-250k,40-60k,20-30,0.03,658
45-50%,250-300k,40-60k,20-30,0.03,331
45-50%,300-350k,40-60k,20-30,0.03,5
