dob,salary,salary_inc,inflation,old_pension_pa,new_pension_pa,old_pension_20yr_pa,new_pension_20yr_pa,age,old_pension_total,new_pension_total_linear,new_pension_total_geomet,loss_percent,loss_pounds,number,binned_by_pc_loss,binned_by_pounds_loss,binned_by_salary,binned_by_age
1999,2500,0.04,0.025,2040,1650,2040,1490,22.5,40800,31400.0,31374.236268550558,23.03921568627451,9400.0,321,20-25%,0-50k,0-20k,20-30
1999,7500,0.04,0.025,6120,4960,6120,4500,22.5,122400,94600.0,94529.32007613126,22.712418300653596,27800.0,120,20-25%,0-50k,0-20k,20-30
1999,12500,0.04,0.025,10220,8280,10220,7520,22.5,204400,158000.0,157884.48569720745,22.70058708414873,46400.0,122,20-25%,0-50k,0-20k,20-30
1999,17500,0.04,0.025,14310,11580,14310,10520,22.5,286200,221000.0,220839.34894224533,22.78127183787561,65200.0,154,20-25%,50-100k,0-20k,20-30
1999,22500,0.04,0.025,18400,14270,18400,12990,22.5,368000,272600.0,272410.0903113865,25.92391304347826,95400.0,219,25-30%,50-100k,20-40k,20-30
1999,27500,0.04,0.025,22490,16390,22490,14980,22.5,449800,313700.0,313499.75791913643,30.257892396620722,136100.0,381,30-35%,100-150k,20-40k,20-30
1999,32500,0.04,0.025,26560,18210,26560,16730,22.5,531200,349400.0,349201.93580456526,34.22439759036145,181800.0,305,30-35%,150-200k,20-40k,20-30
1999,37500,0.04,0.025,30050,19890,30050,18390,22.5,601000,382800.0,382614.311056002,36.306156405990016,218200.0,91,35-40%,200-250k,20-40k,20-30
1999,42500,0.04,0.025,32870,21510,32870,20010,22.5,657400,415200.0,415028.81175112445,36.8421052631579,242200.0,20,35-40%,200-250k,40-60k,20-30
1999,47500,0.04,0.025,35220,23130,35220,21630,22.5,704400,447600.0,447441.2111073349,36.45655877342419,256800.0,5,35-40%,250-300k,40-60k,20-30
1999,52500,0.04,0.025,37240,24760,37240,23260,22.5,744800,480200.0,480051.9968427752,35.526315789473685,264600.0,0,35-40%,250-300k,40-60k,20-30
1999,57500,0.04,0.025,39010,26380,39010,24880,22.5,780200,512600.0,512461.3561212951,34.29889771853371,267600.0,0,30-35%,250-300k,40-60k,20-30
1999,62500,0.04,0.025,40630,27990,40630,26490,22.5,812600,544800.0,544669.5539817724,32.95594388382968,267800.0,0,30-35%,250-300k,60-80k,20-30
1999,67500,0.04,0.025,42230,29590,42230,28090,22.5,844600,576800.0,576676.7936180155,31.70731707317073,267800.0,0,30-35%,250-300k,60-80k,20-30
1999,72500,0.04,0.025,43830,31190,43830,29690,22.5,876600,608800.0,608683.2717977994,30.54985169974903,267800.0,0,30-35%,250-300k,60-80k,20-30
1999,77500,0.04,0.025,45430,32790,45430,31290,22.5,908600,640800.0,640689.1026693268,29.47391591459388,267800.0,0,25-30%,250-300k,60-80k,20-30
1999,82500,0.04,0.025,47030,34390,47030,32890,22.5,940600,672800.0,672694.3786481525,28.47118860301935,267800.0,0,25-30%,250-300k,80k+,20-30
1999,87500,0.04,0.025,48630,35990,48630,34490,22.5,972600,704800.0,704699.1753548677,27.534443758996503,267800.0,0,25-30%,250-300k,80k+,20-30
1999,92500,0.04,0.025,50230,37590,50230,36090,22.5,1004600,736800.0,736703.555264954,26.657376070077643,267800.0,0,25-30%,250-300k,80k+,20-30
1999,97500,0.04,0.025,51830,39190,51830,37690,22.5,1036600,768800.0,768707.5704463659,25.834458807640363,267800.0,0,25-30%,250-300k,80k+,20-30
1999,102500,0.04,0.025,53430,40790,53430,39290,22.5,1068600,800800.0,800711.2646402633,25.060827250608273,267800.0,0,25-30%,250-300k,80k+,20-30
1999,107500,0.04,0.025,55030,42390,55030,40890,22.5,1100600,832800.0,832714.6748616978,24.332182445938578,267800.0,0,20-25%,250-300k,80k+,20-30
1999,112500,0.04,0.025,56630,43990,56630,42490,22.5,1132600,864800.0,864717.8326447057,23.64471128377185,267800.0,0,20-25%,250-300k,80k+,20-30
1999,117500,0.04,0.025,58230,45590,58230,44090,22.5,1164600,896800.0,896720.7650206636,22.995019749270135,267800.0,0,20-25%,250-300k,80k+,20-30
1999,122500,0.04,0.025,59830,47190,59830,45690,22.5,1196600,928800.0,928723.4952943013,22.3800768845061,267800.0,0,20-25%,250-300k,80k+,20-30
1999,127500,0.04,0.025,61430,48790,61430,47290,22.5,1228600,960800.0,960726.0436645572,21.79716750773238,267800.0,0,20-25%,250-300k,80k+,20-30
1999,132500,0.04,0.025,63030,50390,63030,48890,22.5,1260600,992800.0,992728.4277253032,21.24385213390449,267800.0,0,20-25%,250-300k,80k+,20-30
1999,137500,0.04,0.025,64630,51990,64630,50490,22.5,1292600,1024800.0,1024730.6628722257,20.71793284852236,267800.0,0,20-25%,250-300k,80k+,20-30
1999,142500,0.04,0.025,66230,53590,66230,52090,22.5,1324600,1056800.0,1056732.7626357432,20.217424128038655,267800.0,0,20-25%,250-300k,80k+,20-30
1999,147500,0.04,0.025,67830,55190,67830,53690,22.5,1356600,1088800.0,1088734.7389552037,19.740527790063393,267800.0,0,15-20%,250-300k,80k+,20-30
1999,200000,0.04,0.025,84630,71990,84630,70490,22.5,1692600,1424800.0,1424750.130032101,15.821812596006144,267800.0,0,15-20%,250-300k,80k+,20-30
1994,2500,0.04,0.025,1740,1420,1740,1290,27.5,34800,27100.0,27080.294764908293,22.126436781609197,7700.0,1292,20-25%,0-50k,0-20k,20-30
1994,7500,0.04,0.025,5220,4270,5220,3880,27.5,104400,81500.0,81441.02954152244,21.93486590038314,22900.0,721,20-25%,0-50k,0-20k,20-30
1994,12500,0.04,0.025,8710,7130,8710,6480,27.5,174200,136100.0,136001.90870960543,21.871412169919633,38100.0,483,20-25%,0-50k,0-20k,20-30
1994,17500,0.04,0.025,12210,9990,12210,9080,27.5,244200,190700.0,190562.78755356173,21.908271908271907,53500.0,466,20-25%,50-100k,0-20k,20-30
1994,22500,0.04,0.025,15690,12550,15690,11410,27.5,313800,239600.0,239428.611072024,23.64563416188655,74200.0,647,20-25%,50-100k,20-40k,20-30
1994,27500,0.04,0.025,19180,14500,19180,13230,27.5,383600,277300.0,277116.22003219975,27.711157455683004,106300.0,1209,25-30%,100-150k,20-40k,20-30
1994,32500,0.04,0.025,22670,16110,22670,14770,27.5,453400,308800.0,308616.2835520895,31.89236876929863,144600.0,3588,30-35%,100-150k,20-40k,20-30
1994,37500,0.04,0.025,25960,17540,25960,16180,27.5,519200,337200.0,337026.70889203076,35.05392912172573,182000.0,1722,35-40%,150-200k,20-40k,20-30
1994,42500,0.04,0.025,28590,18880,28590,17520,27.5,571800,364000.0,363839.4775690147,36.34137810423225,207800.0,658,35-40%,200-250k,40-60k,20-30
1994,47500,0.04,0.025,30730,20230,30730,18870,27.5,614600,391000.0,390850.5696579532,36.38138626749105,223600.0,247,35-40%,200-250k,40-60k,20-30
1994,52500,0.04,0.025,32510,21570,32510,20210,27.5,650200,417800.0,417660.16054900887,35.74284835435251,232400.0,64,35-40%,200-250k,40-60k,20-30
1994,57500,0.04,0.025,34020,22910,34020,21550,27.5,680400,444600.0,444468.5942594595,34.65608465608466,235800.0,31,30-35%,200-250k,40-60k,20-30
1994,62500,0.04,0.025,35360,24240,35360,22880,27.5,707200,471200.0,471076.0157197638,33.3710407239819,236000.0,16,30-35%,200-250k,60-80k,20-30
1994,67500,0.04,0.025,36680,25560,36680,24200,27.5,733600,497600.0,497482.5963577021,32.1701199563795,236000.0,7,30-35%,200-250k,60-80k,20-30
1994,72500,0.04,0.025,38000,26880,38000,25520,27.5,760000,524000.0,523888.5135314614,31.05263157894737,236000.0,7,30-35%,200-250k,60-80k,20-30
1994,77500,0.04,0.025,39310,28190,39310,26830,27.5,786200,550200.0,550093.8241837804,30.017807173747137,236000.0,7,30-35%,200-250k,60-80k,20-30
1994,82500,0.04,0.025,40630,29510,40630,28150,27.5,812600,576600.0,576498.6869881063,29.042579374846174,236000.0,0,25-30%,200-250k,80k+,20-30
1994,87500,0.04,0.025,41950,30830,41950,29470,27.5,839000,603000.0,602903.123813211,28.128724672228845,236000.0,0,25-30%,200-250k,80k+,20-30
1994,92500,0.04,0.025,43270,32150,43270,30790,27.5,865400,629400.0,629307.188290373,27.27062629997689,236000.0,0,25-30%,200-250k,80k+,20-30
1994,97500,0.04,0.025,44580,33460,44580,32100,27.5,891600,655600.0,655510.8982298159,26.469268730372363,236000.0,0,25-30%,200-250k,80k+,20-30
1994,102500,0.04,0.025,45900,34780,45900,33420,27.5,918000,682000.0,681914.3480765435,25.70806100217865,236000.0,0,25-30%,200-250k,80k+,20-30
1994,107500,0.04,0.025,47220,36100,47220,34740,27.5,944400,708400.0,708317.5407130363,24.98941126641254,236000.0,0,20-25%,200-250k,80k+,20-30
1994,112500,0.04,0.025,48530,37410,48530,36050,27.5,970600,734600.0,734520.4822259399,24.314856789614673,236000.0,0,20-25%,200-250k,80k+,20-30
1994,117500,0.04,0.025,49850,38730,49850,37370,27.5,997000,761000.0,760923.241270727,23.67101303911735,236000.0,0,20-25%,200-250k,80k+,20-30
1994,122500,0.04,0.025,51170,40050,51170,38690,27.5,1023400,787400.0,787325.8152589326,23.060386945475866,236000.0,0,20-25%,200-250k,80k+,20-30
1994,127500,0.04,0.025,52490,41370,52490,40010,27.5,1049800,813800.0,813728.2222061332,22.480472470946847,236000.0,0,20-25%,200-250k,80k+,20-30
1994,132500,0.04,0.025,53800,42680,53800,41320,27.5,1076000,840000.0,839930.4613075762,21.933085501858734,236000.0,0,20-25%,200-250k,80k+,20-30
1994,137500,0.04,0.025,55120,44000,55120,42640,27.5,1102400,866400.0,866332.5804977901,21.407837445573296,236000.0,0,20-25%,200-250k,80k+,20-30
1994,142500,0.04,0.025,56440,45320,56440,43960,27.5,1128800,892800.0,892734.5743355735,20.907158043940466,236000.0,0,20-25%,200-250k,80k+,20-30
1994,147500,0.04,0.025,57760,46630,57760,45270,27.5,1155200,919000.0,918936.4397930861,20.446675900277008,236200.0,0,20-25%,200-250k,80k+,20-30
1994,200000,0.04,0.025,71590,60470,71590,59110,27.5,1431800,1195800.0,1195751.1536758104,16.482748987288726,236000.0,0,15-20%,200-250k,80k+,20-30
1989,2500,0.04,0.025,1460,1200,1460,1090,32.5,29200,22900.0,22883.30390865045,21.575342465753426,6300.0,1029,20-25%,0-50k,0-20k,30-40
