CPI,Total loss GBP,Mean loss GBP,Mean loss %,% loss Q1,% loss Q2,% loss Q3,GBP loss Q1,GBP loss Q2,GBP loss Q3,Total loss grades 29-43 GBP,Mean loss grades 29-43 GBP,Mean loss grades 29-43 %,Grades (29-43) % loss Q1,Grades (29-43) % loss Q2,Grades (29-43) % loss Q3,Grades (29-43) GBP loss Q1,Grades (29-43) GBP loss Q2,Grades (29-43) GBP loss Q3,"Age 37, 40k % loss","Age 37, 40k GBP loss",Total loss grades < 40k bGBP,Mean loss < 40k GBP,Mean loss < 40k %,Under 40k % loss Q1,Under 40k % loss Q2,Under 40k % loss Q3,Under 40k GBP loss Q1,Under 40k GBP loss Q2,Under 40k GBP loss Q3
2.5,16078506400.0,82219.02770036357,27.49700725492908,21.908271908271907,29.4679005205321,33.249772105742935,30700.0,78200.0,124600.0,16078506400.0,82219.02770036357,27.49700725492908,21.908271908271907,29.4679005205321,33.249772105742935,21.908271908271907,29.4679005205321,33.249772105742935,32.99883503419048,123385.68754194482,16078506400.0,82219.02770036357,27.49700725492908,18.271604938271604,21.908271908271907,28.135828135828135,13400.0,43100.0,106300.0
2.8,17592928100.0,89963.17237429497,31.025196560383442,25.818639798488665,32.982866043613704,37.011779293242405,36400.0,84700.0,148800.0,17592928100.0,89963.17237429497,31.025196560383442,25.818639798488665,32.982866043613704,37.011779293242405,25.818639798488665,32.982866043613704,37.011779293242405,36.8959986296218,133311.2359153686,17592928100.0,89963.17237429497,31.025196560383442,21.928460342146188,26.99604743083004,32.71365149833518,15700.0,50900.0,117900.0
3.0,18409097500.0,94136.73506957051,33.218869514933985,27.94871794871795,34.74663908996897,40.03231017770598,38000.0,88800.0,139600.0,18409097500.0,94136.73506957051,33.218869514933985,27.94871794871795,34.74663908996897,40.03231017770598,27.94871794871795,34.74663908996897,40.03231017770598,39.18711570652896,138013.5141817668,18409097500.0,94136.73506957051,33.218869514933985,24.405705229793977,29.82885085574572,35.82995951417004,17100.0,55100.0,123900.0
