Age/salary,£0–5k,£5–10k,£10–15k,£15–20k,£20–25k,£25–30k,£30–35k,£35–40k,£40–45k,£45–50k,£50–55k,£55–60k,£60–65k,£65–70k,£70–75k,£75–80k,£80–85k,£85–90k,£90–95k,£95–100k,£100–105k,£105–110k,£110–115k,£115–120k,£120–125k,£125–130k,£130–135k,£135–140k,£140–145k,£145–150k,£150+
< 25,-0.325966851,-0.323529412,-0.323237885,-0.3245476,-0.350764526,-0.387193597,-0.42061812,-0.448459281,-0.466916558,-0.469874101,-0.463287207,-0.451147099,-0.436034393,-0.421748992,-0.408469612,-0.395907263,-0.384182736,-0.373049487,-0.362621885,-0.352897787,-0.343352483,-0.334632294,-0.326027664,-0.318164545,-0.310367211,-0.303241579,-0.296142276,-0.289655769,-0.283164129,-0.277115416,-0.226179213
25-29,-0.310897436,-0.308510638,-0.308917197,-0.309372157,-0.323550212,-0.358299595,-0.39402839,-0.425360475,-0.450543275,-0.459260527,-0.456458869,-0.445485258,-0.431770988,-0.418247126,-0.405266091,-0.393320714,-0.382221639,-0.371585397,-0.361276701,-0.351753325,-0.342719133,-0.334290308,-0.326125924,-0.318132108,-0.310724204,-0.303653445,-0.297040816,-0.290576961,-0.284193044,-0.278266692,-0.228192658
30-34,-0.293233083,-0.295,-0.295216741,-0.294337607,-0.299833887,-0.328804348,-0.366091954,-0.400398406,-0.429010989,-0.445505171,-0.446840149,-0.438254081,-0.424991418,-0.412117177,-0.400323102,-0.388697017,-0.377899878,-0.367686368,-0.358113972,-0.348928974,-0.340203353,-0.332171582,-0.32408377,-0.316543084,-0.309345327,-0.302541544,-0.295959837,-0.2896584,-0.283848797,-0.277890011,-0.228920118
35-39,-0.283783784,-0.281437126,-0.278276481,-0.279487179,-0.278884462,-0.298288509,-0.334482759,-0.371266428,-0.404586189,-0.428267045,-0.435136324,-0.429438861,-0.416903121,-0.404761905,-0.393458301,-0.382626488,-0.372375091,-0.362658674,-0.353436426,-0.344671582,-0.336440955,-0.328489301,-0.320904836,-0.313662702,-0.306740233,-0.30011672,-0.293857143,-0.287772804,-0.281935307,-0.27632993,-0.228708028
40-44,-0.272222222,-0.262962963,-0.261640798,-0.262282092,-0.26199262,-0.269617706,-0.301107325,-0.340707965,-0.377604167,-0.406523005,-0.420996251,-0.418107833,-0.406896552,-0.39559387,-0.384722869,-0.374603175,-0.365282686,-0.355727821,-0.347058824,-0.338663387,-0.330796956,-0.323552426,-0.315990819,-0.309131737,-0.302453314,-0.296163499,-0.29002809,-0.284239504,-0.278920742,-0.273238505,-0.227172717
45-49,-0.246376812,-0.244019139,-0.244285714,-0.244897959,-0.244057052,-0.244170984,-0.265642151,-0.305608365,-0.346057047,-0.378469617,-0.401980874,-0.403932946,-0.393191755,-0.382674772,-0.372705743,-0.363033449,-0.354049494,-0.345499451,-0.337171934,-0.329408687,-0.321994885,-0.31475,-0.30797456,-0.301484674,-0.295124238,-0.289159394,-0.283753375,-0.277802295,-0.272510823,-0.267303609,-0.22322695
50-54,-0.23,-0.225165563,-0.224409449,-0.225352113,-0.223194748,-0.223214286,-0.230711044,-0.267365662,-0.312138728,-0.347466391,-0.375468165,-0.38548951,-0.376271186,-0.366336634,-0.357200322,-0.348235294,-0.339969372,-0.331838565,-0.324324324,-0.316916488,-0.310055866,-0.303278689,-0.296989967,-0.290766208,-0.284980745,-0.279245283,-0.273904997,-0.268602541,-0.263657957,-0.258741259,-0.216902785
55-59,-0.203125,-0.197916667,-0.200617284,-0.202643172,-0.198630137,-0.19972067,-0.199052133,-0.223360656,-0.27124774,-0.307443366,-0.338213763,-0.357624831,-0.349869452,-0.340966921,-0.333746898,-0.32566586,-0.317159763,-0.30982659,-0.302824859,-0.297237569,-0.29004329,-0.283898305,-0.278008299,-0.273373984,-0.267928287,-0.261974585,-0.256951103,-0.252116651,-0.248384118,-0.243194192,-0.204580153
60-64,-0.142857143,-0.181818182,-0.173333333,-0.158653846,-0.166666667,-0.160606061,-0.158974359,-0.168141593,-0.207843137,-0.244755245,-0.273015873,-0.297687861,-0.294444444,-0.287262873,-0.28042328,-0.273901809,-0.267676768,-0.261728395,-0.256038647,-0.250591017,-0.24537037,-0.242081448,-0.237250554,-0.232608696,-0.228144989,-0.223849372,-0.219712526,-0.213709677,-0.20990099,-0.206225681,-0.174055829
65+,-0.125,-0.107142857,-0.083333333,-0.060606061,-0.079545455,-0.064814815,-0.078125,-0.067567568,-0.101190476,-0.111702128,-0.121359223,-0.135964912,-0.130252101,-0.12704918,-0.124,-0.12109375,-0.118320611,-0.115671642,-0.113138686,-0.110714286,-0.108391608,-0.106164384,-0.104026846,-0.101973684,-0.1,-0.098101266,-0.096273292,-0.094512195,-0.092814371,-0.091176471,-0.072139303
