Age/salary,£0–5k,£5–10k,£10–15k,£15–20k,£20–25k,£25–30k,£30–35k,£35–40k,£40–45k,£45–50k,£50–55k,£55–60k,£60–65k,£65–70k,£70–75k,£75–80k,£80–85k,£85–90k,£90–95k,£95–100k,£100–105k,£105–110k,£110–115k,£115–120k,£120–125k,£125–130k,£130–135k,£135–140k,£140–145k,£145–150k,£150+
< 25,-11800,-35200,-58700,-82500,-114700,-154800,-198700,-244500,-286500,-313500,-328100,-334300,-334700,-334700,-334700,-334700,-334700,-334700,-334700,-334900,-334700,-334900,-334700,-334900,-334700,-334900,-334700,-334900,-334700,-334700,-334700
25-29,-9700,-29000,-48500,-68000,-91500,-123900,-161000,-200600,-240500,-268300,-284100,-290100,-291100,-291100,-290900,-290900,-291100,-291100,-290900,-290900,-290900,-291100,-291100,-290900,-290900,-290900,-291100,-291100,-290900,-290900,-290900
30-34,-7800,-23600,-39500,-55100,-72200,-96800,-127400,-160800,-195200,-224000,-240400,-247000,-247600,-247600,-247800,-247600,-247600,-247600,-247600,-247600,-247600,-247800,-247600,-247600,-247600,-247600,-247600,-247600,-247800,-247600,-247600
35-39,-6300,-18800,-31000,-43600,-56000,-73200,-97000,-124300,-153500,-180900,-197900,-205100,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700,-205700
40-44,-4900,-14200,-23600,-33100,-42600,-53600,-70700,-92400,-116000,-139600,-157200,-164400,-165200,-165200,-165200,-165200,-165400,-165200,-165200,-165200,-165200,-165400,-165200,-165200,-165200,-165200,-165200,-165200,-165400,-165200,-165200
45-49,-3400,-10200,-17100,-24000,-30800,-37700,-48400,-64300,-82500,-100900,-117700,-125300,-125900,-125900,-125900,-125900,-125900,-125900,-125900,-125900,-125900,-125900,-125900,-125900,-125900,-125900,-126100,-125900,-125900,-125900,-125900
50-54,-2300,-6800,-11400,-16000,-20400,-25000,-30500,-40800,-54000,-67200,-80200,-88200,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800,-88800
55-59,-1300,-3800,-6500,-9200,-11600,-14300,-16800,-21800,-30000,-38000,-46200,-53000,-53600,-53600,-53800,-53800,-53600,-53600,-53600,-53800,-53600,-53600,-53600,-53800,-53800,-53600,-53600,-53600,-53800,-53600,-53600
60-64,-400,-1600,-2600,-3300,-4500,-5300,-6200,-7600,-10600,-14000,-17200,-20600,-21200,-21200,-21200,-21200,-21200,-21200,-21200,-21200,-21200,-21400,-21400,-21400,-21400,-21400,-21400,-21200,-21200,-21200,-21200
65+,-100,-300,-400,-400,-700,-700,-1000,-1000,-1700,-2100,-2500,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-3100,-2900
