dob,salary,salary_inc,inflation,old_pension_pa,new_pension_pa,old_pension_20yr_pa,new_pension_20yr_pa,age,old_pension_total,new_pension_total_linear,new_pension_total_geomet,loss_percent,loss_pounds,number,binned_by_pc_loss,binned_by_pounds_loss,binned_by_salary,binned_by_age
1999,2500,0.04,0.028,1900,1460,1900,1250,22.5,38000,27100.0,27048.528890464022,28.68421052631579,10900.0,321,25-30%,0-50k,0-20k,20-30
1999,7500,0.04,0.028,5700,4380,5700,3750,22.5,114000,81300.0,81145.58667139207,28.68421052631579,32700.0,120,25-30%,0-50k,0-20k,20-30
1999,12500,0.04,0.028,9520,7310,9520,6270,22.5,190400,135800.0,135548.09030509536,28.676470588235293,54600.0,122,25-30%,50-100k,0-20k,20-30
1999,17500,0.04,0.028,13330,10220,13330,8770,22.5,266600,189900.0,189549.82513287352,28.769692423105777,76700.0,154,25-30%,50-100k,0-20k,20-30
1999,22500,0.04,0.028,17130,12600,17130,10850,22.5,342600,234500.0,234086.97452967855,31.552831290134268,108100.0,219,30-35%,100-150k,20-40k,20-30
1999,27500,0.04,0.028,20950,14470,20950,12550,22.5,419000,270200.0,269768.5799927299,35.51312649164678,148800.0,381,35-40%,100-150k,20-40k,20-30
1999,32500,0.04,0.028,24750,16080,24750,14070,22.5,495000,301500.0,301076.3397625733,39.09090909090909,193500.0,305,35-40%,150-200k,20-40k,20-30
1999,37500,0.04,0.028,28510,17570,28510,15520,22.5,570200,330900.0,330498.52966648474,41.96773062083479,239300.0,91,40-45%,200-250k,20-40k,20-30
1999,42500,0.04,0.028,31630,19000,31630,16950,22.5,632600,359500.0,359130.5265128881,43.17104015175466,273100.0,20,40-45%,250-300k,40-60k,20-30
1999,47500,0.04,0.028,34110,20440,34110,18390,22.5,682200,388300.0,387957.9725966061,43.08120785693345,293900.0,5,40-45%,250-300k,40-60k,20-30
1999,52500,0.04,0.028,36120,21880,36120,19830,22.5,722400,417100.0,416781.62056439085,42.26190476190476,305300.0,0,40-45%,300-350k,40-60k,20-30
1999,57500,0.04,0.028,37780,23320,37780,21270,22.5,755600,445900.0,445602.20821203245,40.98729486500794,309700.0,0,40-45%,300-350k,40-60k,20-30
1999,62500,0.04,0.028,39210,24740,39210,22690,22.5,784200,474300.0,474020.0576502066,39.517980107115534,309900.0,0,35-40%,300-350k,60-80k,20-30
1999,67500,0.04,0.028,40620,26150,40620,24100,22.5,812400,502500.0,502235.7822166995,38.14623338257016,309900.0,0,35-40%,300-350k,60-80k,20-30
1999,72500,0.04,0.028,42030,27560,42030,25510,22.5,840600,530700.0,530449.8335461542,36.86652391149179,309900.0,0,35-40%,300-350k,60-80k,20-30
1999,77500,0.04,0.028,43440,28960,43440,26910,22.5,868800,558700.0,558462.3802171207,35.692909760589316,310100.0,0,35-40%,300-350k,60-80k,20-30
1999,82500,0.04,0.028,44850,30370,44850,28320,22.5,897000,586900.0,586673.8052460204,34.57079152731327,310100.0,0,30-35%,300-350k,80k+,20-30
1999,87500,0.04,0.028,46260,31780,46260,29730,22.5,925200,615100.0,614884.1817089794,33.51707738867272,310100.0,0,30-35%,300-350k,80k+,20-30
1999,92500,0.04,0.028,47670,33190,47670,31140,22.5,953400,643300.0,643093.647662674,32.52569750367107,310100.0,0,30-35%,300-350k,80k+,20-30
1999,97500,0.04,0.028,49080,34600,49080,32550,22.5,981600,671500.0,671302.3179411184,31.591279543602283,310100.0,0,30-35%,300-350k,80k+,20-30
1999,102500,0.04,0.028,50490,36010,50490,33960,22.5,1009800,699700.0,699510.2888425725,30.709051297286592,310100.0,0,30-35%,300-350k,80k+,20-30
1999,107500,0.04,0.028,51900,37420,51900,35370,22.5,1038000,727900.0,727717.6417251395,29.8747591522158,310100.0,0,25-30%,300-350k,80k+,20-30
1999,112500,0.04,0.028,53300,38830,53300,36780,22.5,1066000,756100.0,755924.445796481,29.07129455909944,309900.0,0,25-30%,300-350k,80k+,20-30
1999,117500,0.04,0.028,54710,40240,54710,38190,22.5,1094200,784300.0,784130.7603008385,28.322061780296107,309900.0,0,25-30%,300-350k,80k+,20-30
1999,122500,0.04,0.028,56120,41650,56120,39600,22.5,1122400,812500.0,812336.6362500114,27.61047754811119,309900.0,0,25-30%,300-350k,80k+,20-30
1999,127500,0.04,0.028,57530,43050,57530,41000,22.5,1150600,840500.0,840342.080224958,26.95115591865114,310100.0,0,25-30%,300-350k,80k+,20-30
1999,132500,0.04,0.028,58940,44460,58940,42410,22.5,1178800,868700.0,868547.208211816,26.306413301662708,310100.0,0,25-30%,300-350k,80k+,20-30
1999,137500,0.04,0.028,60350,45870,60350,43820,22.5,1207000,896900.0,896752.0135949038,25.691797845898922,310100.0,0,25-30%,300-350k,80k+,20-30
1999,142500,0.04,0.028,61760,47280,61760,45230,22.5,1235200,925100.0,924956.5258924075,25.105246113989637,310100.0,0,25-30%,300-350k,80k+,20-30
1999,147500,0.04,0.028,63170,48690,63170,46640,22.5,1263400,953300.0,953160.7711274595,24.544878898211177,310100.0,0,20-25%,300-350k,80k+,20-30
1999,200000,0.04,0.028,77960,63480,77960,61430,22.5,1559200,1249100.0,1248993.7474556642,19.888404309902516,310100.0,0,15-20%,300-350k,80k+,20-30
1994,2500,0.04,0.028,1630,1270,1630,1090,27.5,32600,23600.0,23556.578438676446,27.607361963190183,9000.0,1292,25-30%,0-50k,0-20k,20-30
1994,7500,0.04,0.028,4900,3830,4900,3280,27.5,98000,71100.0,70965.43020825124,27.448979591836736,26900.0,721,25-30%,0-50k,0-20k,20-30
1994,12500,0.04,0.028,8180,6390,8180,5480,27.5,163600,118700.0,118479.34616707481,27.444987775061126,44900.0,483,25-30%,0-50k,0-20k,20-30
1994,17500,0.04,0.028,11470,8950,11470,7680,27.5,229400,166300.0,165993.24663243897,27.506538796861378,63100.0,466,25-30%,50-100k,0-20k,20-30
1994,22500,0.04,0.028,14740,11240,14740,9670,27.5,294800,209100.0,208727.18205696638,29.070556309362278,85700.0,647,25-30%,50-100k,20-40k,20-30
1994,27500,0.04,0.028,18020,13000,18020,11250,27.5,360400,242500.0,242100.6387365824,32.71365149833518,117900.0,1209,30-35%,100-150k,20-40k,20-30
1994,32500,0.04,0.028,21290,14440,21290,12590,27.5,425800,270300.0,269899.65151947574,36.51949271958666,155500.0,3588,35-40%,150-200k,20-40k,20-30
1994,37500,0.04,0.028,24570,15720,24570,13830,27.5,491400,295500.0,295117.84639064805,39.865689865689866,195900.0,1722,35-40%,150-200k,20-40k,20-30
1994,42500,0.04,0.028,27530,16930,27530,15040,27.5,550600,319700.0,319346.8301277503,41.93606974209953,230900.0,658,40-45%,200-250k,40-60k,20-30
1994,47500,0.04,0.028,29840,18140,29840,16250,27.5,596800,343900.0,343571.72406538675,42.3760053619303,252900.0,247,40-45%,250-300k,40-60k,20-30
1994,52500,0.04,0.028,31660,19350,31660,17460,27.5,633200,368100.0,367793.3373698888,41.86670878079596,265100.0,64,40-45%,250-300k,40-60k,20-30
1994,57500,0.04,0.028,33110,20560,33110,18670,27.5,662200,392300.0,392012.2788325373,40.758079130172156,269900.0,31,40-45%,250-300k,40-60k,20-30
1994,62500,0.04,0.028,34320,21750,34320,19860,27.5,686400,416100.0,415828.7545231717,39.37937062937063,270300.0,16,35-40%,250-300k,60-80k,20-30
1994,67500,0.04,0.028,35490,22920,35490,21030,27.5,709800,439500.0,439243.210917944,38.08114961961116,270300.0,7,35-40%,250-300k,60-80k,20-30
1994,72500,0.04,0.028,36670,24100,36670,22210,27.5,733400,463100.0,462856.30906944384,36.855740387237525,270300.0,7,35-40%,250-300k,60-80k,20-30
1994,77500,0.04,0.028,37850,25280,37850,23390,27.5,757000,486700.0,486468.13535202376,35.70673712021136,270300.0,7,35-40%,250-300k,60-80k,20-30
1994,82500,0.04,0.028,39030,26450,39030,24560,27.5,780600,510100.0,509878.77974023874,34.65283115552139,270500.0,0,30-35%,250-300k,80k+,20-30
1994,87500,0.04,0.028,40200,27630,40200,25740,27.5,804000,533700.0,533488.5687077607,33.61940298507463,270300.0,0,30-35%,250-300k,80k+,20-30
1994,92500,0.04,0.028,41380,28810,41380,26920,27.5,827600,557300.0,557097.5278099123,32.660705654905755,270300.0,0,30-35%,250-300k,80k+,20-30
1994,97500,0.04,0.028,42560,29980,42560,28090,27.5,851200,580700.0,580505.6913755673,31.778665413533833,270500.0,0,30-35%,250-300k,80k+,20-30
1994,102500,0.04,0.028,43730,31160,43730,29270,27.5,874600,604300.0,604113.2838374325,30.90555682597759,270300.0,0,30-35%,250-300k,80k+,20-30
1994,107500,0.04,0.028,44910,32340,44910,30450,27.5,898200,627900.0,627720.3051344216,30.093520374081496,270300.0,0,30-35%,250-300k,80k+,20-30
1994,112500,0.04,0.028,46090,33520,46090,31630,27.5,921800,651500.0,651326.817395374,29.323063571273597,270300.0,0,25-30%,250-300k,80k+,20-30
1994,117500,0.04,0.028,47260,34690,47260,32800,27.5,945200,674900.0,674732.8245049465,28.597122302158272,270300.0,0,25-30%,250-300k,80k+,20-30
1994,122500,0.04,0.028,48440,35870,48440,33980,27.5,968800,698500.0,698338.4750546876,27.900495458298927,270300.0,0,25-30%,250-300k,80k+,20-30
1994,127500,0.04,0.028,49620,37050,49620,35160,27.5,992400,722100.0,721943.7560473484,27.23700120918984,270300.0,0,25-30%,250-300k,80k+,20-30
1994,132500,0.04,0.028,50800,38220,50800,36330,27.5,1016000,745500.0,745348.6619921423,26.624015748031496,270500.0,0,25-30%,250-300k,80k+,20-30
1994,137500,0.04,0.028,51970,39400,51970,37510,27.5,1039400,769100.0,768953.3073506934,26.00538772368674,270300.0,0,25-30%,250-300k,80k+,20-30
1994,142500,0.04,0.028,53150,40580,53150,38690,27.5,1063000,792700.0,792557.6759793988,25.428033866415806,270300.0,0,25-30%,250-300k,80k+,20-30
1994,147500,0.04,0.028,54330,41750,54330,39860,27.5,1086600,816100.0,815961.7580141099,24.894165286213877,270500.0,0,20-25%,250-300k,80k+,20-30
1994,200000,0.04,0.028,66690,54110,66690,52220,27.5,1333800,1063300.0,1063193.9032664464,20.28040185934923,270500.0,0,20-25%,250-300k,80k+,20-30
1989,2500,0.04,0.028,1380,1090,1380,930,32.5,27600,20200.0,20159.9120250869,26.81159420289855,7400.0,1029,25-30%,0-50k,0-20k,30-40
1989,7500,0.04,0.028,4150,3290,4150,2820,32.5,83000,61100.0,60985.64937445748,26.3855421686747,21900.0,893,25-30%,0-50k,0-20k,30-40
1989,12500,0.04,0.028,6930,5500,6930,4720,32.5,138600,102200.0,102011.71677848474,26.262626262626263,36400.0,698,25-30%,0-50k,0-20k,30-40
1989,17500,0.04,0.028,9710,7710,9710,6620,32.5,194200,143300.0,143037.77411008492,26.210092687950567,50900.0,787,25-30%,50-100k,0-20k,30-40
1989,22500,0.04,0.028,12480,9830,12480,8450,32.5,249600,182800.0,182470.51119111612,26.762820512820515,66800.0,979,25-30%,50-100k,20-40k,30-40
1989,27500,0.04,0.028,15260,11480,15260,9910,32.5,305200,213900.0,213535.5726396169,29.91480996068152,91300.0,1388,25-30%,50-100k,20-40k,30-40
1989,32500,0.04,0.028,18030,12770,18030,11100,32.5,360600,238700.0,238330.55845450633,33.80476982806434,121900.0,5863,30-35%,100-150k,20-40k,30-40
1989,37500,0.04,0.028,20810,13870,20810,12160,32.5,416200,260300.0,259944.84658081352,37.45795290725613,155900.0,6187,35-40%,150-200k,20-40k,30-40
1989,42500,0.04,0.028,23500,14870,23500,13160,32.5,470000,280300.0,279970.2398874923,40.361702127659576,189700.0,4283,40-45%,150-200k,40-60k,30-40
1989,47500,0.04,0.028,25660,15880,25660,14170,32.5,513200,300500.0,300192.4465307274,41.44583008573655,212700.0,2446,40-45%,200-250k,40-60k,30-40
1989,52500,0.04,0.028,27310,16890,27310,15180,32.5,546200,320700.0,320411.84887842456,41.28524350054925,225500.0,782,40-45%,200-250k,40-60k,30-40
1989,57500,0.04,0.028,28580,17880,28580,16170,32.5,571600,340500.0,340228.6280685878,40.43037088873338,231100.0,415,40-45%,200-250k,40-60k,30-40
1989,62500,0.04,0.028,29580,18870,29580,17160,32.5,591600,360300.0,360043.5595546269,39.0973630831643,231300.0,156,35-40%,200-250k,60-80k,30-40
1989,67500,0.04,0.028,30550,19840,30550,18130,32.5,611000,379700.0,379456.67642637907,37.85597381342062,231300.0,73,35-40%,200-250k,60-80k,30-40
1989,72500,0.04,0.028,31520,20800,31520,19090,32.5,630400,398900.0,398668.3999432077,36.72271573604061,231500.0,52,35-40%,200-250k,60-80k,30-40
1989,77500,0.04,0.028,32490,21770,32490,20060,32.5,649800,418300.0,418079.15094903635,35.626346568174824,231500.0,23,35-40%,200-250k,60-80k,30-40
1989,82500,0.04,0.028,33460,22740,33460,21030,32.5,669200,437700.0,437488.94770948566,34.59354453078303,231500.0,19,30-35%,200-250k,80k+,30-40
1989,87500,0.04,0.028,34420,23710,34420,22000,32.5,688400,457100.0,456897.9119176769,33.59965136548518,231300.0,8,30-35%,200-250k,80k+,30-40
1989,92500,0.04,0.028,35390,24680,35390,22970,32.5,707800,476500.0,476306.1454112808,32.67872280305171,231300.0,17,30-35%,200-250k,80k+,30-40
1989,97500,0.04,0.028,36360,25640,36360,23930,32.5,727200,495700.0,495513.6588641799,31.834433443344334,231500.0,10,30-35%,200-250k,80k+,30-40
