binned_by_pc_loss,binned_by_pounds_loss,binned_by_salary,binned_by_age,inflation,number
0-5%,0-50k,0-20k,60-70,0.025,367
5-10%,0-50k,0-20k,60-70,0.025,376
5-10%,0-50k,20-40k,60-70,0.025,1495
5-10%,0-50k,40-60k,60-70,0.025,478
5-10%,0-50k,80k+,60-70,0.025,528
10-15%,0-50k,0-20k,60-70,0.025,2387
10-15%,0-50k,20-40k,60-70,0.025,2647
10-15%,0-50k,40-60k,60-70,0.025,1068
10-15%,0-50k,60-80k,60-70,0.025,948
10-15%,0-50k,80k+,60-70,0.025,700
15-20%,0-50k,0-20k,40-50,0.025,5056
15-20%,0-50k,0-20k,50-60,0.025,4235
15-20%,0-50k,20-40k,40-50,0.025,3271
15-20%,0-50k,20-40k,50-60,0.025,7814
15-20%,0-50k,40-60k,60-70,0.025,1166
15-20%,0-50k,80k+,50-60,0.025,309
15-20%,0-50k,80k+,60-70,0.025,382
15-20%,50-100k,80k+,50-60,0.025,217
15-20%,100-150k,80k+,40-50,0.025,173
15-20%,150-200k,80k+,30-40,0.025,33
15-20%,200-250k,80k+,30-40,0.025,16
20-25%,0-50k,0-20k,20-30,0.025,3059
20-25%,0-50k,0-20k,30-40,0.025,6549
20-25%,0-50k,20-40k,30-40,0.025,1276
20-25%,0-50k,20-40k,40-50,0.025,3383
20-25%,0-50k,20-40k,50-60,0.025,1471
20-25%,0-50k,40-60k,50-60,0.025,2231
20-25%,0-50k,40-60k,60-70,0.025,1035
20-25%,0-50k,80k+,50-60,0.025,835
20-25%,0-50k,80k+,60-70,0.025,1915
20-25%,50-100k,0-20k,20-30,0.025,620
20-25%,50-100k,20-40k,20-30,0.025,647
20-25%,50-100k,20-40k,30-40,0.025,2420
20-25%,50-100k,20-40k,40-50,0.025,2614
20-25%,50-100k,80k+,50-60,0.025,471
20-25%,100-150k,80k+,40-50,0.025,333
20-25%,150-200k,80k+,30-40,0.025,49
20-25%,200-250k,80k+,30-40,0.025,16
25-30%,0-50k,40-60k,50-60,0.025,5077
25-30%,0-50k,40-60k,60-70,0.025,1903
25-30%,0-50k,60-80k,50-60,0.025,1417
25-30%,0-50k,60-80k,60-70,0.025,2295
25-30%,0-50k,80k+,50-60,0.025,2183
25-30%,50-100k,20-40k,20-30,0.025,219
25-30%,50-100k,20-40k,30-40,0.025,5161
25-30%,50-100k,20-40k,40-50,0.025,4858
25-30%,50-100k,40-60k,40-50,0.025,3673
25-30%,50-100k,80k+,50-60,0.025,2080
25-30%,100-150k,20-40k,20-30,0.025,1209
25-30%,100-150k,20-40k,30-40,0.025,5863
25-30%,100-150k,80k+,40-50,0.025,2409
25-30%,150-200k,80k+,30-40,0.025,299
25-30%,200-250k,80k+,30-40,0.025,62
30-35%,0-50k,40-60k,50-60,0.025,3818
30-35%,0-50k,60-80k,50-60,0.025,2583
30-35%,50-100k,40-60k,40-50,0.025,3405
30-35%,50-100k,40-60k,50-60,0.025,7412
30-35%,50-100k,60-80k,50-60,0.025,4756
30-35%,100-150k,20-40k,20-30,0.025,3969
30-35%,100-150k,20-40k,30-40,0.025,10991
30-35%,100-150k,40-60k,30-40,0.025,6333
30-35%,100-150k,40-60k,40-50,0.025,17731
30-35%,100-150k,60-80k,40-50,0.025,7928
30-35%,150-200k,20-40k,20-30,0.025,305
30-35%,150-200k,40-60k,30-40,0.025,1686
30-35%,150-200k,60-80k,30-40,0.025,1416
30-35%,200-250k,40-60k,20-30,0.025,31
30-35%,200-250k,40-60k,30-40,0.025,415
30-35%,200-250k,60-80k,20-30,0.025,37
30-35%,200-250k,60-80k,30-40,0.025,304
35-40%,100-150k,40-60k,40-50,0.025,3415
35-40%,150-200k,20-40k,20-30,0.025,1722
35-40%,150-200k,40-60k,30-40,0.025,14135
35-40%,200-250k,20-40k,20-30,0.025,91
35-40%,200-250k,40-60k,20-30,0.025,989
35-40%,200-250k,40-60k,30-40,0.025,782
35-40%,250-300k,40-60k,20-30,0.025,5
