Age/salary,£0–5k,£5–10k,£10–15k,£15–20k,£20–25k,£25–30k,£30–35k,£35–40k,£40–45k,£45–50k,£50–55k,£55–60k,£60–65k,£65–70k,£70–75k,£75–80k,£80–85k,£85–90k,£90–95k,£95–100k,£100–105k,£105–110k,£110–115k,£115–120k,£120–125k,£125–130k,£130–135k,£135–140k,£140–145k,£145–150k,£150+
< 25,-0.230392157,-0.227124183,-0.227005871,-0.227812718,-0.25923913,-0.302578924,-0.342243976,-0.363061564,-0.368421053,-0.364565588,-0.355263158,-0.342988977,-0.329559439,-0.317073171,-0.305498517,-0.294739159,-0.284711886,-0.275344438,-0.266573761,-0.258344588,-0.250608273,-0.243321824,-0.236447113,-0.229950197,-0.223800769,-0.217971675,-0.212438521,-0.207179328,-0.202174241,-0.197405278,-0.158218126
25-29,-0.221264368,-0.219348659,-0.218714122,-0.219082719,-0.236456342,-0.277111575,-0.318923688,-0.350539291,-0.363413781,-0.363813863,-0.357428484,-0.346560847,-0.333710407,-0.3217012,-0.310526316,-0.300178072,-0.290425794,-0.281287247,-0.272706263,-0.264692687,-0.25708061,-0.249894113,-0.243148568,-0.23671013,-0.230603869,-0.224804725,-0.219330855,-0.214078374,-0.20907158,-0.204466759,-0.16482749
30-34,-0.215753425,-0.211187215,-0.20998632,-0.210243902,-0.216400911,-0.250775916,-0.293483973,-0.332497721,-0.355182302,-0.361395525,-0.357909807,-0.348614437,-0.336192676,-0.325047801,-0.314329738,-0.304295943,-0.294679005,-0.285834502,-0.277777778,-0.269912675,-0.2624807,-0.255260521,-0.248841181,-0.242510699,-0.236494319,-0.230595157,-0.225143615,-0.220159724,-0.215189873,-0.210439447,-0.170911528
35-39,-0.208333333,-0.202777778,-0.201331115,-0.201660735,-0.202216066,-0.225075529,-0.265495208,-0.30841639,-0.342843089,-0.355786618,-0.356292517,-0.349186992,-0.337519623,-0.327003418,-0.316777042,-0.306923626,-0.29788708,-0.289367429,-0.281648675,-0.274029281,-0.266584005,-0.25974026,-0.253239105,-0.247055444,-0.241446999,-0.235616438,-0.230254351,-0.22513089,-0.220230474,-0.215789474,-0.176229508
40-44,-0.189473684,-0.191637631,-0.192708333,-0.192421991,-0.191907514,-0.200850662,-0.2364,-0.281358281,-0.323547401,-0.346303502,-0.352574103,-0.347567031,-0.336695485,-0.326350093,-0.316764573,-0.307591049,-0.299061433,-0.290871369,-0.283232323,-0.27587564,-0.268994628,-0.262724551,-0.256119839,-0.250445951,-0.244421199,-0.239263804,-0.233744582,-0.22903752,-0.223961661,-0.219649562,-0.180741504
45-49,-0.191780822,-0.184090909,-0.182065217,-0.183139535,-0.183257919,-0.182716049,-0.206374086,-0.250678733,-0.297124601,-0.331661891,-0.344850498,-0.34345351,-0.333333333,-0.323616895,-0.314632736,-0.305961755,-0.297918949,-0.290133333,-0.282891316,-0.275862069,-0.269306931,-0.262928951,-0.256967407,-0.251154201,-0.245257453,-0.240388864,-0.234963219,-0.230508475,-0.225498339,-0.221408221,-0.183350185
50-54,-0.173076923,-0.171974522,-0.171102662,-0.170731707,-0.170886076,-0.170689655,-0.178832117,-0.217446271,-0.267857143,-0.306387226,-0.332422587,-0.335634167,-0.326649958,-0.317886179,-0.309335443,-0.301232666,-0.293764087,-0.286446886,-0.279485347,-0.273044693,-0.266712142,-0.261333333,-0.255055447,-0.249521378,-0.244846971,-0.239290086,-0.23441247,-0.230317274,-0.225360231,-0.22102883,-0.184260132
55-59,-0.166666667,-0.161616162,-0.159638554,-0.156652361,-0.157190635,-0.154371585,-0.155092593,-0.181362725,-0.232743363,-0.274091627,-0.307857143,-0.321094793,-0.313307494,-0.304156171,-0.297546012,-0.29007177,-0.283294393,-0.276510832,-0.270044543,-0.26416122,-0.258253461,-0.25286757,-0.24744898,-0.242257742,-0.237512243,-0.232725528,-0.22834275,-0.223915051,-0.219655797,-0.215747331,-0.180835198
60-64,-0.107142857,-0.125,-0.126666667,-0.127358491,-0.128676471,-0.128742515,-0.129441624,-0.13377193,-0.180232558,-0.219723183,-0.2515625,-0.276504298,-0.272099448,-0.262803235,-0.258530184,-0.252564103,-0.246867168,-0.241421569,-0.23381295,-0.230679157,-0.225917431,-0.221348315,-0.216960352,-0.210583153,-0.208245243,-0.204356846,-0.200610998,-0.197,-0.191552063,-0.189788054,-0.158536585
65+,-0.125,-0.107142857,-0.0625,-0.044117647,-0.068181818,-0.055555556,-0.0625,-0.060810811,-0.089285714,-0.10106383,-0.110576923,-0.127192982,-0.121848739,-0.118852459,-0.116,-0.11328125,-0.110687023,-0.108208955,-0.105839416,-0.103571429,-0.101398601,-0.099315068,-0.097315436,-0.095394737,-0.093548387,-0.091772152,-0.090062112,-0.088414634,-0.086826347,-0.085294118,-0.071782178
