Age/salary,£0–5k,£5–10k,£10–15k,£15–20k,£20–25k,£25–30k,£30–35k,£35–40k,£40–45k,£45–50k,£50–55k,£55–60k,£60–65k,£65–70k,£70–75k,£75–80k,£80–85k,£85–90k,£90–95k,£95–100k,£100–105k,£105–110k,£110–115k,£115–120k,£120–125k,£125–130k,£130–135k,£135–140k,£140–145k,£145–150k,£150+
< 25,-10900,-32700,-54600,-76700,-108100,-148800,-193500,-239300,-273100,-293900,-305300,-309700,-309900,-309900,-309900,-310100,-310100,-310100,-310100,-310100,-310100,-310100,-309900,-309900,-309900,-310100,-310100,-310100,-310100,-310100,-310100
25-29,-9000,-26900,-44900,-63100,-85700,-117900,-155500,-195900,-230900,-252900,-265100,-269900,-270300,-270300,-270300,-270300,-270500,-270300,-270300,-270500,-270300,-270300,-270300,-270300,-270300,-270300,-270500,-270300,-270300,-270500,-270500
30-34,-7400,-21900,-36400,-50900,-66800,-91300,-121900,-155900,-189700,-212700,-225500,-231100,-231300,-231300,-231500,-231500,-231500,-231300,-231300,-231500,-231500,-231500,-231300,-231300,-231300,-231500,-231500,-231500,-231300,-231300,-231500
35-39,-5700,-17300,-28500,-40100,-51500,-68300,-91900,-119700,-149500,-173300,-186900,-192500,-193100,-193100,-193100,-193100,-193100,-193100,-193100,-193100,-193100,-193100,-192900,-192900,-192900,-192900,-192900,-192900,-192900,-192900,-193100
40-44,-4500,-13200,-21900,-30400,-39100,-49500,-66500,-88400,-112200,-135400,-149400,-155200,-155600,-155800,-155800,-155600,-155600,-155600,-155600,-155600,-155800,-155800,-155600,-155600,-155600,-155600,-155800,-155800,-155800,-155600,-155600
45-49,-3300,-9300,-15700,-22200,-28200,-34700,-45200,-61000,-79600,-98200,-112600,-118800,-119400,-119400,-119400,-119400,-119400,-119200,-119200,-119200,-119200,-119200,-119400,-119400,-119400,-119400,-119400,-119400,-119400,-119400,-119400
50-54,-2200,-6400,-10400,-14600,-19000,-23100,-28400,-38300,-51700,-65100,-77700,-84300,-84700,-84700,-84900,-84700,-84700,-84900,-84700,-84700,-84700,-84700,-84700,-84700,-84700,-84700,-84700,-84700,-84900,-84700,-84900
55-59,-1200,-3500,-5900,-8400,-10800,-13100,-15400,-20300,-28500,-36700,-44900,-51300,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700,-51700
60-64,-400,-1300,-2200,-3300,-4000,-4900,-5800,-6900,-9900,-13300,-16700,-19900,-20300,-20500,-20500,-20500,-20500,-20300,-20300,-20300,-20300,-20500,-20500,-20500,-20500,-20500,-20300,-20300,-20300,-20300,-20300
65+,-100,-300,-400,-400,-600,-700,-900,-1000,-1600,-2000,-2400,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-2800
