Year,Term,Estimated break-even discount rates 2014 cpi basis
2012,1,0.04
2013,2,0.04
2014,3,0.04
2015,4,0.04
2016,5,0.04
2017,6,0.04
2018,7,0.04
2019,8,0.04
2020,9,0.04
2021,10,0.04
2022,11,0.04
2023,12,0.04
2024,13,0.04
2025,14,0.04
2026,15,0.04
2027,16,0.04
2028,17,0.04
2029,18,0.04
2030,19,0.04
2031,20,0.04
2032,21,0.04
2033,22,0.04
2034,23,0.04
2035,24,0.04
2036,25,0.04
2037,26,0.04
2038,27,0.04
2039,28,0.04
2040,29,0.04
2041,30,0.04
2042,31,0.04
2043,32,0.04
2044,33,0.04
2045,34,0.04
2046,35,0.04
2047,36,0.04
2048,37,0.04
2049,38,0.04
2050,39,0.04
2051,40,0.04
2052,41,0.04
2053,42,0.04
2054,43,0.04
2055,44,0.04
2056,45,0.04
2057,46,0.04
2058,47,0.04
2059,48,0.04
2060,49,0.04
2061,50,0.04
