Year,Term,Derived break-even discount rates 2017 cpi basis
2018,1,0.0128
2019,2,0.0128
2020,3,0.0128
2021,4,0.0128
2022,5,0.0128
2023,6,0.0128
2024,7,0.0128
2025,8,0.0128
2026,9,0.0128
2027,10,0.0128
2028,11,0.0128
2029,12,0.0128
2030,13,0.0128
2031,14,0.0128
2032,15,0.0128
2033,16,0.0128
2034,17,0.0128
2035,18,0.0128
2036,19,0.0128
2037,20,0.0128
2038,21,0.0128
2039,22,0.0128
2040,23,0.0128
2041,24,0.0128
2042,25,0.0128
2043,26,0.0128
2044,27,0.0128
2045,28,0.0128
2046,29,0.0128
2047,30,0.0128
2048,31,0.0128
2049,32,0.0128
2050,33,0.0128
2051,34,0.0128
2052,35,0.0128
2053,36,0.0128
2054,37,0.0128
2055,38,0.0128
2056,39,0.0128
2057,40,0.0128
2058,41,0.0128
2059,42,0.0128
2060,43,0.0128
2061,44,0.0128
2062,45,0.0128
2063,46,0.0128
2064,47,0.0128
2065,48,0.0128
2066,49,0.0128
2067,50,0.0128
