Year,Term,Derived break-even discount rates 2018 cpi basis
2018,1,0.0115
2019,2,0.0115
2020,3,0.0115
2021,4,0.0115
2022,5,0.0115
2023,6,0.0115
2024,7,0.0115
2025,8,0.0115
2026,9,0.0115
2027,10,0.0115
2028,11,0.0115
2029,12,0.0115
2030,13,0.0115
2031,14,0.0115
2032,15,0.0115
2033,16,0.0115
2034,17,0.0115
2035,18,0.0115
2036,19,0.0115
2037,20,0.0115
2038,21,0.0115
2039,22,0.0115
2040,23,0.0115
2041,24,0.0115
2042,25,0.0115
2043,26,0.0115
2044,27,0.0115
2045,28,0.0115
2046,29,0.0115
2047,30,0.0115
2048,31,0.0115
2049,32,0.0115
2050,33,0.0115
2051,34,0.0115
2052,35,0.0115
2053,36,0.0115
2054,37,0.0115
2055,38,0.0115
2056,39,0.0115
2057,40,0.0115
2058,41,0.0115
2059,42,0.0115
2060,43,0.0115
2061,44,0.0115
2062,45,0.0115
2063,46,0.0115
2064,47,0.0115
2065,48,0.0115
2066,49,0.0115
2067,50,0.0115
