Year,Term,Estimated break-even discount rates 2021 cpi basis
2022,1,0.0039
2023,2,0.0039
2024,3,0.0039
2025,4,0.0039
2026,5,0.0039
2027,6,0.0039
2028,7,0.0039
2029,8,0.0039
2030,9,0.0039
2031,10,0.0039
2032,11,0.0039
2033,12,0.0039
2034,13,0.0039
2035,14,0.0039
2036,15,0.0039
2037,16,0.0039
2038,17,0.0039
2039,18,0.0039
2040,19,0.0039
2041,20,0.0039
2042,21,0.0039
2043,22,0.0039
2044,23,0.0039
2045,24,0.0039
2046,25,0.0039
2047,26,0.0039
2048,27,0.0039
2049,28,0.0039
2050,29,0.0039
2051,30,0.0039
2052,31,0.0039
2053,32,0.0039
2054,33,0.0039
2055,34,0.0039
2056,35,0.0039
2057,36,0.0039
2058,37,0.0039
2059,38,0.0039
2060,39,0.0039
2061,40,0.0039
2062,41,0.0039
2063,42,0.0039
2064,43,0.0039
2065,44,0.0039
2066,45,0.0039
2067,46,0.0039
2068,47,0.0039
2069,48,0.0039
2070,49,0.0039
2071,50,0.0039
