Year,Term,Discount rate USS present for 2021 valuation with UUK cuts (1-year forward) cpi-basis
2023,1,-0.001
2024,2,-0.001
2025,3,-0.001
2026,4,-0.001
2027,5,-0.001
2028,6,-0.001
2029,7,-0.001
2030,8,-0.001
2031,9,-0.001
2032,10,-0.001
2033,11,-0.001
2034,12,-0.001
2035,13,-0.001
2036,14,-0.001
2037,15,-0.001
2038,16,-0.001
2039,17,-0.001
2040,18,-0.001
2041,19,-0.001
2042,20,-0.001
2043,21,-0.001
2044,22,-0.001
2045,23,-0.001
2046,24,-0.001
2047,25,-0.001
2048,26,-0.001
2049,27,-0.001
2050,28,-0.001
2051,29,-0.001
2052,30,-0.001
2053,31,-0.001
2054,32,-0.001
2055,33,-0.001
2056,34,-0.001
2057,35,-0.001
2058,36,-0.001
2059,37,-0.001
2060,38,-0.001
2061,39,-0.001
2062,40,-0.001
2063,41,-0.001
2064,42,-0.001
2065,43,-0.001
2066,44,-0.001
2067,45,-0.001
2068,46,-0.001
2069,47,-0.001
2070,48,-0.001
2071,49,-0.001
2072,50,-0.001
