Year,Term,Discount rate for valuation 2011 (1-year forward) cpi-basis
2012,1,0.035
2013,2,0.035
2014,3,0.035
2015,4,0.035
2016,5,0.035
2017,6,0.035
2018,7,0.035
2019,8,0.035
2020,9,0.035
2021,10,0.035
2022,11,0.035
2023,12,0.035
2024,13,0.035
2025,14,0.035
2026,15,0.035
2027,16,0.035
2028,17,0.035
2029,18,0.035
2030,19,0.035
2031,20,0.035
2032,21,0.035
2033,22,0.035
2034,23,0.035
2035,24,0.035
2036,25,0.035
2037,26,0.035
2038,27,0.035
2039,28,0.035
2040,29,0.035
2041,30,0.035
2042,31,0.035
2043,32,0.035
2044,33,0.035
2045,34,0.035
2046,35,0.035
2047,36,0.035
2048,37,0.035
2049,38,0.035
2050,39,0.035
2051,40,0.035
2052,41,0.035
2053,42,0.035
2054,43,0.035
2055,44,0.035
2056,45,0.035
2057,46,0.035
2058,47,0.035
2059,48,0.035
2060,49,0.035
2061,50,0.035
